Altium Designer Pick and Place Locations
D:\LocalRepo\ImbueLight\imbuelight-stair-controller\hardware\imbuelight_move_detection_ver_1.0\Project Outputs for imbuelight_move_detection_ver_2.0\Pick Place\Pick Place for imbuelight_move_detection — panel.csv

========================================================================================================================
File Design Information:

Date:       02.08.23
Time:       12:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C6","0603 1uF 10V","BottomLayer","CAP_SMD_0603","86.9405","93.0366","0","Capacitor"
"R6","0603 10kOhm 1%","BottomLayer","RES_0603","86.9411","91.3856","180","Generic Resistor SMD"
"U1","MCP1804T-3302I/OT","BottomLayer","SOT-23-5","77.7311","82.4676","90","Regulatro LDO 3,3V"
"R2","0603 10kOhm 1%","BottomLayer","RES_0603","90.4971","88.2106","180","Generic Resistor SMD"
"R1","0603 10kOhm 1%","BottomLayer","RES_0603","90.4971","89.8616","180","Generic Resistor SMD"
"C2","0603 1uF 10V","BottomLayer","CAP_SMD_0603","77.7311","85.0776","0","Capacitor"
"C1","0805 1uF 20V","BottomLayer","CAP_SMD_0805","77.6232","79.6080","0","Capacitor"
"P2","15EDGRC-3.5-3P","BottomLayer","15EDGVC-3.5-03P-14-00A(H)","86.0001","75.7164","0","15EDGVC-3.5-03P-14-00A(H) - 3 pin"
"R5","0603 1kOhm 1%","BottomLayer","RES_0603","90.4971","83.5116","180","Generic Resistor SMD"
"R4","0603 10kOhm 1%","BottomLayer","RES_0603","90.4971","91.3856","0","Generic Resistor SMD"
"R3","0603 10Ohm 1%","BottomLayer","RES_0603","86.0001","80.3698","90","Generic Resistor SMD"
"P1","HEADER_1X3_2.54_0DEG_THT","BottomLayer","HDR1X4","95.1961","76.9076","90","4pin 1x4 2.54mm 0.100" pitch header vertical tht"
"D3","Dioda LED SMD 1206","TopLayer","LED_SMD_1206","86.0001","81.0000","270","Dioda LED SMD 1206"
"D2","TVS0500DRVR","BottomLayer","FP-DRV0006A-IPC_C","88.5499","80.7736","180","ESD Suppressors / TVS Diodes 5V flat-clamp surge protection device 6-WSON -40 to 125"
"C5","0603 1uF 10V","BottomLayer","CAP_SMD_0603","73.1638","85.1626","0","Capacitor"
"C4","0603 1uF 10V","BottomLayer","CAP_SMD_0603","90.4971","86.6866","180","Capacitor"
"C3","0603 1uF 10V","BottomLayer","CAP_SMD_0603","90.4971","85.1626","180","Capacitor"
"U3","BC805M","BottomLayer","BC805","77.5231","90.7526","180","Bluetooth Low Energy (BLE) 5 Module"
"U2","VL53L0CXV0DH/1","TopLayer","FP-LGA-12-MFG","86.0001","86.0001","0","SENSOR OPTICAL 200CM I2C"
"D1","BAT43W-E3-08","BottomLayer","SOD-123","78.5591","76.1456","270","Dioda SMD"
